id,area,time,population,area_km2,area_population_density,foot_traffic,area_type,socially_vulnerable_zone,minorities_zone,student_zone,nightlife_zone,day_of_week,hour,is_weekend,is_night,weather,incident_count
1,Annelinn,2026-01-28 00:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,0,0,1,clear,0
2,Ihaste,2026-01-28 00:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,0,0,1,clear,0
3,Jaamamõisa,2026-01-28 00:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,0,0,1,clear,0
4,Karlova,2026-01-28 00:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,0,0,1,clear,2
5,Kesklinn,2026-01-28 00:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,0,0,1,clear,0
6,Kvissentali,2026-01-28 00:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,0,0,1,clear,0
7,Maarjamõisa,2026-01-28 00:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,0,0,1,clear,0
8,Raadi-Kruusamäe,2026-01-28 00:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,0,0,1,clear,0
9,Ropka,2026-01-28 00:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,0,0,1,clear,0
10,Ropka tööstuse,2026-01-28 00:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,0,0,1,clear,0
11,Ränilinn,2026-01-28 00:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,0,0,1,clear,0
12,Supilinn,2026-01-28 00:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,0,0,1,clear,0
13,Tammelinn,2026-01-28 00:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,0,0,1,clear,0
14,Tähtvere,2026-01-28 00:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,0,0,1,clear,0
15,Vaksali,2026-01-28 00:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,0,0,1,clear,0
16,Variku,2026-01-28 00:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,0,0,1,clear,0
17,Veeriku,2026-01-28 00:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,0,0,1,clear,0
18,Ülejõe,2026-01-28 00:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,0,0,1,clear,0
19,Annelinn,2026-01-28 01:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,1,0,1,clear,1
20,Ihaste,2026-01-28 01:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,1,0,1,clear,0
21,Jaamamõisa,2026-01-28 01:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,1,0,1,clear,0
22,Karlova,2026-01-28 01:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,1,0,1,clear,0
23,Kesklinn,2026-01-28 01:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,1,0,1,clear,1
24,Kvissentali,2026-01-28 01:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,1,0,1,clear,0
25,Maarjamõisa,2026-01-28 01:00:00,477,1.133,421,low,residential,0,0,0,0,Wednesday,1,0,1,clear,0
26,Raadi-Kruusamäe,2026-01-28 01:00:00,4804,2.828,1699,low,residential,0,0,0,0,Wednesday,1,0,1,clear,0
27,Ropka,2026-01-28 01:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Wednesday,1,0,1,clear,0
28,Ropka tööstuse,2026-01-28 01:00:00,2198,3.249,676,low,commercial,1,1,0,0,Wednesday,1,0,1,clear,0
29,Ränilinn,2026-01-28 01:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Wednesday,1,0,1,clear,1
30,Supilinn,2026-01-28 01:00:00,2307,0.483,4776,low,residential,1,0,1,0,Wednesday,1,0,1,clear,0
31,Tammelinn,2026-01-28 01:00:00,8118,3.182,2551,low,residential,0,0,0,0,Wednesday,1,0,1,clear,0
32,Tähtvere,2026-01-28 01:00:00,3158,2.5,1263,low,residential,0,0,0,0,Wednesday,1,0,1,clear,0
33,Vaksali,2026-01-28 01:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Wednesday,1,0,1,clear,1
34,Variku,2026-01-28 01:00:00,1714,0.761,2252,low,residential,1,0,0,0,Wednesday,1,0,1,clear,0
35,Veeriku,2026-01-28 01:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Wednesday,1,0,1,clear,0
36,Ülejõe,2026-01-28 01:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Wednesday,1,0,1,clear,0
37,Annelinn,2026-01-28 02:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Wednesday,2,0,1,clear,0
38,Ihaste,2026-01-28 02:00:00,3050,4.8,635,low,residential,0,0,0,0,Wednesday,2,0,1,clear,0
39,Jaamamõisa,2026-01-28 02:00:00,3464,1.5,2309,low,residential,1,1,0,0,Wednesday,2,0,1,clear,0
40,Karlova,2026-01-28 02:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Wednesday,2,0,1,clear,0
41,Kesklinn,2026-01-28 02:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Wednesday,2,0,1,clear,0
42,Kvissentali,2026-01-28 02:00:00,865,1.509,573,low,residential,0,0,0,0,Wednesday,2,0,1,clear,0
